team_initials,team_city,year,coach1,coach2
ARI,Arizona,2014,Bruce Arians,Harold Goodwin
ARI,Arizona,2014,Bruce Arians,Todd Bowles
ARI,Arizona,2014,Harold Goodwin,Todd Bowles
ARI,Arizona,2013,Bruce Arians,Harold Goodwin
ARI,Arizona,2013,Bruce Arians,Todd Bowles
ARI,Arizona,2013,Harold Goodwin,Todd Bowles
ARI,Arizona,2012,Ken Whisenhunt,Mike Miller
ARI,Arizona,2012,Ken Whisenhunt,Ray Horton
ARI,Arizona,2012,Mike Miller,Ray Horton
ARI,Arizona,2011,Ken Whisenhunt,Mike Miller
ARI,Arizona,2011,Ken Whisenhunt,Ray Horton
ARI,Arizona,2011,Mike Miller,Ray Horton
ARI,Arizona,2010,Ken Whisenhunt,Bill Davis
ARI,Arizona,2009,Ken Whisenhunt,Bill Davis
ARI,Arizona,2008,Ken Whisenhunt,Clancy Pendergast
ARI,Arizona,2008,Ken Whisenhunt,Todd Haley
ARI,Arizona,2008,Todd Haley,Clancy Pendergast
ARI,Arizona,2007,Ken Whisenhunt,Clancy Pendergast
ARI,Arizona,2007,Ken Whisenhunt,Todd Haley
ARI,Arizona,2007,Todd Haley,Clancy Pendergast
ARI,Arizona,2006,Dennis Green,Clancy Pendergast
ARI,Arizona,2006,Dennis Green,Clancy Pendergast
ARI,Arizona,2006,Dennis Green,Keith Rowen
ARI,Arizona,2006,Dennis Green,Mike Kruczek
ARI,Arizona,2006,Keith Rowen,Clancy Pendergast
ARI,Arizona,2006,Mike Kruczek,Clancy Pendergast
ARI,Arizona,2005,Dennis Green,Clancy Pendergast
ARI,Arizona,2005,Dennis Green,Keith Rowen
ARI,Arizona,2005,Keith Rowen,Clancy Pendergast
ARI,Arizona,2004,Alex Wood,Clancy Pendergast
ARI,Arizona,2004,Dennis Green,Alex Wood
ARI,Arizona,2004,Dennis Green,Clancy Pendergast
ARI,Arizona,2003,Dave McGinnis,Jerry Sullivan
ARI,Arizona,2003,Dave McGinnis,Larry Marmie
ARI,Arizona,2003,Jerry Sullivan,Larry Marmie
ARI,Arizona,2002,Dave McGinnis,Larry Marmie
ARI,Arizona,2002,Dave McGinnis,Rich Olson
ARI,Arizona,2002,Rich Olson,Larry Marmie
ARI,Arizona,2001,Dave McGinnis,Larry Marmie
ARI,Arizona,2001,Dave McGinnis,Rich Olson
ARI,Arizona,2001,Rich Olson,Larry Marmie
ARI,Arizona,2000,Dave McGinnis,Larry Marmie
ARI,Arizona,2000,Dave McGinnis,Marc Trestman
ARI,Arizona,2000,Marc Trestman,Larry Marmie
ATL,Atlanta,2014,Dirk Koetter,Mike Nolan
ATL,Atlanta,2014,Mike Smith,Dirk Koetter
ATL,Atlanta,2014,Mike Smith,Mike Nolan
ATL,Atlanta,2013,Dirk Koetter,Mike Nolan
ATL,Atlanta,2013,Mike Smith,Dirk Koetter
ATL,Atlanta,2013,Mike Smith,Mike Nolan
ATL,Atlanta,2012,Dirk Koetter,Mike Nolan
ATL,Atlanta,2012,Mike Smith,Dirk Koetter
ATL,Atlanta,2012,Mike Smith,Mike Nolan
ATL,Atlanta,2011,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2011,Mike Smith,Brian VanGorder
ATL,Atlanta,2011,Mike Smith,Mike Mularkey
ATL,Atlanta,2010,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2010,Mike Smith,Brian VanGorder
ATL,Atlanta,2010,Mike Smith,Mike Mularkey
ATL,Atlanta,2009,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2009,Mike Smith,Brian VanGorder
ATL,Atlanta,2009,Mike Smith,Mike Mularkey
ATL,Atlanta,2008,Mike Mularkey,Brian VanGorder
ATL,Atlanta,2008,Mike Smith,Brian VanGorder
ATL,Atlanta,2008,Mike Smith,Mike Mularkey
ATL,Atlanta,2007,Bobby Petrino,Hue Jackson
ATL,Atlanta,2007,Bobby Petrino,Mike Zimmer
ATL,Atlanta,2007,Emmitt Thomas,Hue Jackson
ATL,Atlanta,2007,Emmitt Thomas,Mike Zimmer
ATL,Atlanta,2007,Hue Jackson,Mike Zimmer
ATL,Atlanta,2007,Hue Jackson,Mike Zimmer
ATL,Atlanta,2006,Greg Knapp,Ed Donatell
ATL,Atlanta,2006,Jim Mora,Ed Donatell
ATL,Atlanta,2006,Jim Mora,Greg Knapp
ATL,Atlanta,2005,Greg Knapp,Ed Donatell
ATL,Atlanta,2005,Jim Mora,Ed Donatell
ATL,Atlanta,2005,Jim Mora,Greg Knapp
ATL,Atlanta,2004,Greg Knapp,Ed Donatell
ATL,Atlanta,2004,Jim Mora,Ed Donatell
ATL,Atlanta,2004,Jim Mora,Greg Knapp
ATL,Atlanta,2003,Dan Reeves,Pete Mangurian
ATL,Atlanta,2003,Dan Reeves,Wade Phillips
ATL,Atlanta,2003,Pete Mangurian,Wade Phillips
ATL,Atlanta,2003,Pete Mangurian,Wade Phillips
ATL,Atlanta,2003,Wade Phillips,Pete Mangurian
ATL,Atlanta,2003,Wade Phillips,Wade Phillips
ATL,Atlanta,2002,Dan Reeves,Wade Phillips
ATL,Atlanta,2001,Dan Reeves,Don Blackmon
ATL,Atlanta,2001,Dan Reeves,George Sefcik
ATL,Atlanta,2001,George Sefcik,Don Blackmon
ATL,Atlanta,2000,Dan Reeves,George Sefcik
ATL,Atlanta,2000,Dan Reeves,Rich Brooks
ATL,Atlanta,2000,George Sefcik,Rich Brooks
BAL,Baltimore,2014,Gary Kubiak,Dean Pees
BAL,Baltimore,2014,John Harbaugh,Dean Pees
BAL,Baltimore,2014,John Harbaugh,Gary Kubiak
BAL,Baltimore,2013,Jim Caldwell,Dean Pees
BAL,Baltimore,2013,John Harbaugh,Dean Pees
BAL,Baltimore,2013,John Harbaugh,Jim Caldwell
BAL,Baltimore,2012,Cam Cameron,Dean Pees
BAL,Baltimore,2012,Jim Caldwell,Dean Pees
BAL,Baltimore,2012,John Harbaugh,Cam Cameron
BAL,Baltimore,2012,John Harbaugh,Dean Pees
BAL,Baltimore,2012,John Harbaugh,Dean Pees
BAL,Baltimore,2012,John Harbaugh,Jim Caldwell
BAL,Baltimore,2011,Cam Cameron,Chuck Pagano
BAL,Baltimore,2011,John Harbaugh,Cam Cameron
BAL,Baltimore,2011,John Harbaugh,Chuck Pagano
BAL,Baltimore,2010,Cam Cameron,Greg Mattison
BAL,Baltimore,2010,John Harbaugh,Cam Cameron
BAL,Baltimore,2010,John Harbaugh,Greg Mattison
BAL,Baltimore,2009,Cam Cameron,Greg Mattison
BAL,Baltimore,2009,John Harbaugh,Cam Cameron
BAL,Baltimore,2009,John Harbaugh,Greg Mattison
BAL,Baltimore,2008,Cam Cameron,Rex Ryan
BAL,Baltimore,2008,John Harbaugh,Cam Cameron
BAL,Baltimore,2008,John Harbaugh,Rex Ryan
BAL,Baltimore,2007,Brian Billick,Rex Ryan
BAL,Baltimore,2007,Brian Billick,Rick Neuheisel
BAL,Baltimore,2007,Rick Neuheisel,Rex Ryan
BAL,Baltimore,2006,Brian Billick,Jim Fassel
BAL,Baltimore,2006,Brian Billick,Rex Ryan
BAL,Baltimore,2006,Jim Fassel,Rex Ryan
BAL,Baltimore,2005,Brian Billick,Jim Fassel
BAL,Baltimore,2005,Brian Billick,Rex Ryan
BAL,Baltimore,2005,Jim Fassel,Rex Ryan
BAL,Baltimore,2004,Brian Billick,Matt Cavanaugh
BAL,Baltimore,2004,Brian Billick,Mike Nolan
BAL,Baltimore,2004,Matt Cavanaugh,Mike Nolan
BAL,Baltimore,2003,Brian Billick,Matt Cavanaugh
BAL,Baltimore,2003,Brian Billick,Mike Nolan
BAL,Baltimore,2003,Matt Cavanaugh,Mike Nolan
BAL,Baltimore,2002,Brian Billick,Matt Cavanaugh
BAL,Baltimore,2002,Brian Billick,Mike Nolan
BAL,Baltimore,2002,Matt Cavanaugh,Mike Nolan
BAL,Baltimore,2001,Brian Billick,Marvin Lewis
BAL,Baltimore,2001,Brian Billick,Matt Cavanaugh
BAL,Baltimore,2001,Matt Cavanaugh,Marvin Lewis
BAL,Baltimore,2000,Brian Billick,Marvin Lewis
BAL,Baltimore,2000,Brian Billick,Matt Cavanaugh
BAL,Baltimore,2000,Matt Cavanaugh,Marvin Lewis
BUF,Buffalo,2014,Doug Marrone,Jim Schwartz
BUF,Buffalo,2014,Doug Marrone,Nathaniel Hackett
BUF,Buffalo,2014,Nathaniel Hackett,Jim Schwartz
BUF,Buffalo,2013,Doug Marrone,Mike Pettine
BUF,Buffalo,2013,Doug Marrone,Nathaniel Hackett
BUF,Buffalo,2013,Nathaniel Hackett,Mike Pettine
BUF,Buffalo,2012,Chan Gailey,Curtis Modkins
BUF,Buffalo,2012,Chan Gailey,Dave Wannstedt
BUF,Buffalo,2012,Curtis Modkins,Dave Wannstedt
BUF,Buffalo,2011,Chan Gailey,Curtis Modkins
BUF,Buffalo,2011,Chan Gailey,George Edwards
BUF,Buffalo,2011,Curtis Modkins,George Edwards
BUF,Buffalo,2010,Chan Gailey,Curtis Modkins
BUF,Buffalo,2010,Chan Gailey,George Edwards
BUF,Buffalo,2010,Curtis Modkins,George Edwards
BUF,Buffalo,2009,Alex Van Pelt,Perry Fewell
BUF,Buffalo,2009,Dick Jauron,Alex Van Pelt
BUF,Buffalo,2009,Dick Jauron,Perry Fewell
BUF,Buffalo,2009,Perry Fewell,Alex Van Pelt
BUF,Buffalo,2008,Dick Jauron,Perry Fewell
BUF,Buffalo,2008,Dick Jauron,Turk Schonert
BUF,Buffalo,2008,Turk Schonert,Perry Fewell
BUF,Buffalo,2007,Dick Jauron,Perry Fewell
BUF,Buffalo,2007,Dick Jauron,Steve Fairchild
BUF,Buffalo,2007,Steve Fairchild,Perry Fewell
BUF,Buffalo,2006,Dick Jauron,Perry Fewell
BUF,Buffalo,2006,Dick Jauron,Steve Fairchild
BUF,Buffalo,2006,Steve Fairchild,Perry Fewell
BUF,Buffalo,2005,Mike Mularkey,Jerry Gray
BUF,Buffalo,2005,Mike Mularkey,Tom Clements
BUF,Buffalo,2005,Tom Clements,Jerry Gray
BUF,Buffalo,2004,Mike Mularkey,Jerry Gray
BUF,Buffalo,2004,Mike Mularkey,Tom Clements
BUF,Buffalo,2004,Tom Clements,Jerry Gray
BUF,Buffalo,2003,Gregg Williams,Jerry Gray
BUF,Buffalo,2003,Gregg Williams,Kevin Gilbride
BUF,Buffalo,2003,Kevin Gilbride,Jerry Gray
BUF,Buffalo,2002,Gregg Williams,Jerry Gray
BUF,Buffalo,2002,Gregg Williams,Kevin Gilbride
BUF,Buffalo,2002,Kevin Gilbride,Jerry Gray
BUF,Buffalo,2001,Gregg Williams,Jerry Gray
BUF,Buffalo,2001,Gregg Williams,Mike Sheppard
BUF,Buffalo,2001,Mike Sheppard,Jerry Gray
BUF,Buffalo,2000,Joe Pendry,Ted Cottrell
BUF,Buffalo,2000,Wade Phillips,Joe Pendry
BUF,Buffalo,2000,Wade Phillips,Ted Cottrell
CAR,Carolina,2014,Mike Shula,Sean McDermott
CAR,Carolina,2014,Ron Rivera,Mike Shula
CAR,Carolina,2014,Ron Rivera,Sean McDermott
CAR,Carolina,2013,Mike Shula,Sean McDermott
CAR,Carolina,2013,Ron Rivera,Mike Shula
CAR,Carolina,2013,Ron Rivera,Sean McDermott
CAR,Carolina,2012,Rob Chudzinski,Sean McDermott
CAR,Carolina,2012,Ron Rivera,Rob Chudzinski
CAR,Carolina,2012,Ron Rivera,Sean McDermott
CAR,Carolina,2011,Rob Chudzinski,Sean McDermott
CAR,Carolina,2011,Ron Rivera,Rob Chudzinski
CAR,Carolina,2011,Ron Rivera,Sean McDermott
CAR,Carolina,2010,Jeff Davidson,Ron Meeks
CAR,Carolina,2010,John Fox,Jeff Davidson
CAR,Carolina,2010,John Fox,Ron Meeks
CAR,Carolina,2009,Jeff Davidson,Ron Meeks
CAR,Carolina,2009,John Fox,Jeff Davidson
CAR,Carolina,2009,John Fox,Ron Meeks
CAR,Carolina,2008,Jeff Davidson,Mike Trgovac
CAR,Carolina,2008,John Fox,Jeff Davidson
CAR,Carolina,2008,John Fox,Mike Trgovac
CAR,Carolina,2007,Jeff Davidson,Mike Trgovac
CAR,Carolina,2007,John Fox,Jeff Davidson
CAR,Carolina,2007,John Fox,Mike Trgovac
CAR,Carolina,2006,Dan Henning,Mike Trgovac
CAR,Carolina,2006,John Fox,Dan Henning
CAR,Carolina,2006,John Fox,Mike Trgovac
CAR,Carolina,2005,Dan Henning,Mike Trgovac
CAR,Carolina,2005,John Fox,Dan Henning
CAR,Carolina,2005,John Fox,Mike Trgovac
CAR,Carolina,2004,Dan Henning,Mike Trgovac
CAR,Carolina,2004,John Fox,Dan Henning
CAR,Carolina,2004,John Fox,Mike Trgovac
CAR,Carolina,2003,Dan Henning,Mike Trgovac
CAR,Carolina,2003,John Fox,Dan Henning
CAR,Carolina,2003,John Fox,Mike Trgovac
CAR,Carolina,2002,Dan Henning,Jack Del Rio
CAR,Carolina,2002,John Fox,Dan Henning
CAR,Carolina,2002,John Fox,Jack Del Rio
CAR,Carolina,2001,George Seifert,John Marshall
CAR,Carolina,2001,George Seifert,Richard Williamson
CAR,Carolina,2001,Richard Williamson,John Marshall
CAR,Carolina,2000,Bill Musgrave,John Marshall
CAR,Carolina,2000,George Seifert,Bill Musgrave
CAR,Carolina,2000,George Seifert,John Marshall
CAR,Carolina,2000,George Seifert,John Marshall
CAR,Carolina,2000,George Seifert,Richard Williamson
CAR,Carolina,2000,Richard Williamson,John Marshall
CHI,Chicago,2014,Aaron Kromer,Mel Tucker
CHI,Chicago,2014,Marc Trestman,Aaron Kromer
CHI,Chicago,2014,Marc Trestman,Mel Tucker
CHI,Chicago,2013,Aaron Kromer,Mel Tucker
CHI,Chicago,2013,Marc Trestman,Aaron Kromer
CHI,Chicago,2013,Marc Trestman,Mel Tucker
CHI,Chicago,2012,Lovie Smith,Mike Tice
CHI,Chicago,2012,Lovie Smith,Rod Marinelli
CHI,Chicago,2012,Mike Tice,Rod Marinelli
CHI,Chicago,2011,Lovie Smith,Mike Martz
CHI,Chicago,2011,Lovie Smith,Rod Marinelli
CHI,Chicago,2011,Mike Martz,Rod Marinelli
CHI,Chicago,2010,Lovie Smith,Mike Martz
CHI,Chicago,2010,Lovie Smith,Rod Marinelli
CHI,Chicago,2010,Mike Martz,Rod Marinelli
CHI,Chicago,2009,Lovie Smith,Bob Babich
CHI,Chicago,2009,Lovie Smith,Ron Turner
CHI,Chicago,2009,Ron Turner,Bob Babich
CHI,Chicago,2008,Lovie Smith,Bob Babich
CHI,Chicago,2008,Lovie Smith,Ron Turner
CHI,Chicago,2008,Ron Turner,Bob Babich
CHI,Chicago,2007,Lovie Smith,Bob Babich
CHI,Chicago,2007,Lovie Smith,Ron Turner
CHI,Chicago,2007,Ron Turner,Bob Babich
CHI,Chicago,2006,Lovie Smith,Ron Rivera
CHI,Chicago,2006,Lovie Smith,Ron Turner
CHI,Chicago,2006,Ron Turner,Ron Rivera
CHI,Chicago,2005,Lovie Smith,Ron Rivera
CHI,Chicago,2005,Lovie Smith,Ron Turner
CHI,Chicago,2005,Ron Turner,Ron Rivera
CHI,Chicago,2004,Lovie Smith,Ron Rivera
CHI,Chicago,2004,Lovie Smith,Terry Shea
CHI,Chicago,2004,Terry Shea,Ron Rivera
CHI,Chicago,2003,Dick Jauron,Greg Blache
CHI,Chicago,2003,Dick Jauron,John Shoop
CHI,Chicago,2003,John Shoop,Greg Blache
CHI,Chicago,2002,Dick Jauron,Greg Blache
CHI,Chicago,2002,Dick Jauron,John Shoop
CHI,Chicago,2002,John Shoop,Greg Blache
CHI,Chicago,2001,Dick Jauron,Greg Blache
CHI,Chicago,2001,Dick Jauron,John Shoop
CHI,Chicago,2001,John Shoop,Greg Blache
CHI,Chicago,2000,Dick Jauron,Gary Crowton
CHI,Chicago,2000,Dick Jauron,Greg Blache
CHI,Chicago,2000,Gary Crowton,Greg Blache
CIN,Cincinnati,2014,Hue Jackson,Paul Guenther
CIN,Cincinnati,2014,Marvin Lewis,Hue Jackson
CIN,Cincinnati,2014,Marvin Lewis,Paul Guenther
CIN,Cincinnati,2013,Jay Gruden,Mike Zimmer
CIN,Cincinnati,2013,Marvin Lewis,Jay Gruden
CIN,Cincinnati,2013,Marvin Lewis,Mike Zimmer
CIN,Cincinnati,2012,Jay Gruden,Mike Zimmer
CIN,Cincinnati,2012,Marvin Lewis,Jay Gruden
CIN,Cincinnati,2012,Marvin Lewis,Mike Zimmer
CIN,Cincinnati,2011,Jay Gruden,Mike Zimmer
CIN,Cincinnati,2011,Marvin Lewis,Jay Gruden
CIN,Cincinnati,2011,Marvin Lewis,Mike Zimmer
CIN,Cincinnati,2010,Bob Bratkowski,Mike Zimmer
CIN,Cincinnati,2010,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2010,Marvin Lewis,Mike Zimmer
CIN,Cincinnati,2009,Bob Bratkowski,Mike Zimmer
CIN,Cincinnati,2009,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2009,Marvin Lewis,Mike Zimmer
CIN,Cincinnati,2008,Bob Bratkowski,Mike Zimmer
CIN,Cincinnati,2008,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2008,Marvin Lewis,Mike Zimmer
CIN,Cincinnati,2007,Bob Bratkowski,Chuck Bresnahan
CIN,Cincinnati,2007,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2007,Marvin Lewis,Chuck Bresnahan
CIN,Cincinnati,2006,Bob Bratkowski,Chuck Bresnahan
CIN,Cincinnati,2006,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2006,Marvin Lewis,Chuck Bresnahan
CIN,Cincinnati,2005,Bob Bratkowski,Chuck Bresnahan
CIN,Cincinnati,2005,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2005,Marvin Lewis,Chuck Bresnahan
CIN,Cincinnati,2004,Bob Bratkowski,Leslie Frazier
CIN,Cincinnati,2004,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2004,Marvin Lewis,Leslie Frazier
CIN,Cincinnati,2003,Bob Bratkowski,Leslie Frazier
CIN,Cincinnati,2003,Marvin Lewis,Bob Bratkowski
CIN,Cincinnati,2003,Marvin Lewis,Leslie Frazier
CIN,Cincinnati,2002,Bob Bratkowski,Mark Duffner
CIN,Cincinnati,2002,Dick LeBeau,Bob Bratkowski
CIN,Cincinnati,2002,Dick LeBeau,Mark Duffner
CIN,Cincinnati,2001,Bob Bratkowski,Mark Duffner
CIN,Cincinnati,2001,Dick LeBeau,Bob Bratkowski
CIN,Cincinnati,2001,Dick LeBeau,Mark Duffner
CIN,Cincinnati,2000,Bruce Coslet,Dick LeBeau
CIN,Cincinnati,2000,Bruce Coslet,Ken Anderson
CIN,Cincinnati,2000,Ken Anderson,Dick LeBeau
CLE,Cleveland,2014,Kyle Shanahan,Jim O'Neil
CLE,Cleveland,2014,Mike Pettine,Jim O'Neil
CLE,Cleveland,2014,Mike Pettine,Kyle Shanahan
CLE,Cleveland,2013,Norv Turner,Ray Horton
CLE,Cleveland,2013,Rob Chudzinski,Norv Turner
CLE,Cleveland,2013,Rob Chudzinski,Ray Horton
CLE,Cleveland,2012,Brad Childress,Dick Jauron
CLE,Cleveland,2012,Pat Shurmur,Brad Childress
CLE,Cleveland,2012,Pat Shurmur,Dick Jauron
CLE,Cleveland,2011,Pat Shurmur,Dick Jauron
CLE,Cleveland,2010,Brian Daboll,Rob Ryan
CLE,Cleveland,2010,Eric Mangini,Brian Daboll
CLE,Cleveland,2010,Eric Mangini,Rob Ryan
CLE,Cleveland,2009,Brian Daboll,Rob Ryan
CLE,Cleveland,2009,Eric Mangini,Brian Daboll
CLE,Cleveland,2009,Eric Mangini,Rob Ryan
CLE,Cleveland,2008,Rob Chudzinski,Mel Tucker
CLE,Cleveland,2008,Romeo Crennel,Mel Tucker
CLE,Cleveland,2008,Romeo Crennel,Rob Chudzinski
CLE,Cleveland,2007,Rob Chudzinski,Todd Grantham
CLE,Cleveland,2007,Romeo Crennel,Rob Chudzinski
CLE,Cleveland,2007,Romeo Crennel,Todd Grantham
CLE,Cleveland,2006,Jeff Davidson,Todd Grantham
CLE,Cleveland,2006,Maurice Carthon,Todd Grantham
CLE,Cleveland,2006,Romeo Crennel,Jeff Davidson
CLE,Cleveland,2006,Romeo Crennel,Maurice Carthon
CLE,Cleveland,2006,Romeo Crennel,Todd Grantham
CLE,Cleveland,2006,Romeo Crennel,Todd Grantham
CLE,Cleveland,2005,Maurice Carthon,Todd Grantham
CLE,Cleveland,2005,Romeo Crennel,Maurice Carthon
CLE,Cleveland,2005,Romeo Crennel,Todd Grantham
CLE,Cleveland,2004,Butch Davis,Dave Campo
CLE,Cleveland,2004,Butch Davis,Terry Robiskie
CLE,Cleveland,2004,Rob Chudzinski,Dave Campo
CLE,Cleveland,2004,Terry Robiskie,Dave Campo
CLE,Cleveland,2004,Terry Robiskie,Dave Campo
CLE,Cleveland,2004,Terry Robiskie,Rob Chudzinski
CLE,Cleveland,2003,Bruce Arians,Dave Campo
CLE,Cleveland,2003,Butch Davis,Bruce Arians
CLE,Cleveland,2003,Butch Davis,Dave Campo
CLE,Cleveland,2002,Bruce Arians,Foge Fazio
CLE,Cleveland,2002,Butch Davis,Bruce Arians
CLE,Cleveland,2002,Butch Davis,Foge Fazio
CLE,Cleveland,2001,Bruce Arians,Foge Fazio
CLE,Cleveland,2001,Butch Davis,Bruce Arians
CLE,Cleveland,2001,Butch Davis,Foge Fazio
CLE,Cleveland,2000,Chris Palmer,Pete Carmichael
CLE,Cleveland,2000,Chris Palmer,Romeo Crennel
CLE,Cleveland,2000,Pete Carmichael,Romeo Crennel
DAL,Dallas,2014,Bill Callahan,Rod Marinelli
DAL,Dallas,2014,Jason Garrett,Bill Callahan
DAL,Dallas,2014,Jason Garrett,Rod Marinelli
DAL,Dallas,2013,Bill Callahan,Monte Kiffin
DAL,Dallas,2013,Jason Garrett,Bill Callahan
DAL,Dallas,2013,Jason Garrett,Monte Kiffin
DAL,Dallas,2012,Bill Callahan,Rob Ryan
DAL,Dallas,2012,Jason Garrett,Bill Callahan
DAL,Dallas,2012,Jason Garrett,Rob Ryan
DAL,Dallas,2011,Jason Garrett,Rob Ryan
DAL,Dallas,2010,Jason Garrett,Paul Pasqualoni
DAL,Dallas,2010,Wade Phillips,Jason Garrett
DAL,Dallas,2010,Wade Phillips,Paul Pasqualoni
DAL,Dallas,2009,Wade Phillips,Jason Garrett
DAL,Dallas,2008,Jason Garrett,Brian Stewart
DAL,Dallas,2008,Wade Phillips,Brian Stewart
DAL,Dallas,2008,Wade Phillips,Jason Garrett
DAL,Dallas,2007,Jason Garrett,Brian Stewart
DAL,Dallas,2007,Wade Phillips,Brian Stewart
DAL,Dallas,2007,Wade Phillips,Jason Garrett
DAL,Dallas,2006,Bill Parcells,Mike Zimmer
DAL,Dallas,2005,Bill Parcells,Mike Zimmer
DAL,Dallas,2004,Bill Parcells,Maurice Carthon
DAL,Dallas,2004,Bill Parcells,Mike Zimmer
DAL,Dallas,2004,Maurice Carthon,Mike Zimmer
DAL,Dallas,2003,Bill Parcells,Maurice Carthon
DAL,Dallas,2003,Bill Parcells,Mike Zimmer
DAL,Dallas,2003,Maurice Carthon,Mike Zimmer
DAL,Dallas,2002,Bruce Coslet,Mike Zimmer
DAL,Dallas,2002,Dave Campo,Bruce Coslet
DAL,Dallas,2002,Dave Campo,Mike Zimmer
DAL,Dallas,2001,Dave Campo,Jack Reilly
DAL,Dallas,2001,Dave Campo,Mike Zimmer
DAL,Dallas,2001,Jack Reilly,Mike Zimmer
DAL,Dallas,2000,Dave Campo,Jack Reilly
DAL,Dallas,2000,Dave Campo,Mike Zimmer
DAL,Dallas,2000,Jack Reilly,Mike Zimmer
DEN,Denver,2014,Adam Gase,Jack Del Rio
DEN,Denver,2014,John Fox,Adam Gase
DEN,Denver,2014,John Fox,Jack Del Rio
DEN,Denver,2013,Adam Gase,Jack Del Rio
DEN,Denver,2013,John Fox,Adam Gase
DEN,Denver,2013,John Fox,Jack Del Rio
DEN,Denver,2012,John Fox,Jack Del Rio
DEN,Denver,2012,John Fox,Mike McCoy
DEN,Denver,2012,Mike McCoy,Jack Del Rio
DEN,Denver,2011,John Fox,Dennis Allen
DEN,Denver,2011,John Fox,Mike McCoy
DEN,Denver,2011,Mike McCoy,Dennis Allen
DEN,Denver,2010,Josh McDaniels,Don Martindale
DEN,Denver,2010,Josh McDaniels,Mike McCoy
DEN,Denver,2010,Mike McCoy,Don Martindale
DEN,Denver,2009,Josh McDaniels,Mike McCoy
DEN,Denver,2009,Josh McDaniels,Mike Nolan
DEN,Denver,2009,Mike McCoy,Mike Nolan
DEN,Denver,2008,Mike Shanahan,Bob Slowik
DEN,Denver,2008,Mike Shanahan,Rick Dennison
DEN,Denver,2008,Rick Dennison,Bob Slowik
DEN,Denver,2007,Mike Shanahan,Bob Slowik
DEN,Denver,2007,Mike Shanahan,Rick Dennison
DEN,Denver,2007,Rick Dennison,Bob Slowik
DEN,Denver,2006,Mike Shanahan,Rick Dennison
DEN,Denver,2006,Mike Shanahan,Rick Dennison
DEN,Denver,2006,Rick Dennison,Rick Dennison
DEN,Denver,2005,Gary Kubiak,Larry Coyer
DEN,Denver,2005,Mike Shanahan,Gary Kubiak
DEN,Denver,2005,Mike Shanahan,Larry Coyer
DEN,Denver,2004,Gary Kubiak,Larry Coyer
DEN,Denver,2004,Mike Shanahan,Gary Kubiak
DEN,Denver,2004,Mike Shanahan,Larry Coyer
DEN,Denver,2003,Gary Kubiak,Larry Coyer
DEN,Denver,2003,Mike Shanahan,Gary Kubiak
DEN,Denver,2003,Mike Shanahan,Larry Coyer
DEN,Denver,2002,Gary Kubiak,Ray Rhodes
DEN,Denver,2002,Mike Shanahan,Gary Kubiak
DEN,Denver,2002,Mike Shanahan,Ray Rhodes
DEN,Denver,2001,Gary Kubiak,Ray Rhodes
DEN,Denver,2001,Mike Shanahan,Gary Kubiak
DEN,Denver,2001,Mike Shanahan,Ray Rhodes
DEN,Denver,2000,Gary Kubiak,Greg Robinson
DEN,Denver,2000,Mike Shanahan,Gary Kubiak
DEN,Denver,2000,Mike Shanahan,Greg Robinson
DET,Detroit,2014,Jim Caldwell,Joe Lombardi
DET,Detroit,2014,Jim Caldwell,Teryl Austin
DET,Detroit,2014,Joe Lombardi,Teryl Austin
DET,Detroit,2013,Jim Schwartz,Gunther Cunningham
DET,Detroit,2013,Jim Schwartz,Scott Linehan
DET,Detroit,2013,Scott Linehan,Gunther Cunningham
DET,Detroit,2012,Jim Schwartz,Gunther Cunningham
DET,Detroit,2012,Jim Schwartz,Scott Linehan
DET,Detroit,2012,Scott Linehan,Gunther Cunningham
DET,Detroit,2011,Jim Schwartz,Gunther Cunningham
DET,Detroit,2011,Jim Schwartz,Scott Linehan
DET,Detroit,2011,Scott Linehan,Gunther Cunningham
DET,Detroit,2010,Jim Schwartz,Gunther Cunningham
DET,Detroit,2010,Jim Schwartz,Scott Linehan
DET,Detroit,2010,Scott Linehan,Gunther Cunningham
DET,Detroit,2009,Jim Schwartz,Gunther Cunningham
DET,Detroit,2009,Jim Schwartz,Scott Linehan
DET,Detroit,2009,Scott Linehan,Gunther Cunningham
DET,Detroit,2008,Jim Colletto,Joe Barry
DET,Detroit,2008,Rod Marinelli,Jim Colletto
DET,Detroit,2008,Rod Marinelli,Joe Barry
DET,Detroit,2007,Mike Martz,Joe Barry
DET,Detroit,2007,Rod Marinelli,Joe Barry
DET,Detroit,2007,Rod Marinelli,Mike Martz
DET,Detroit,2006,Mike Martz,Donnie Henderson
DET,Detroit,2006,Rod Marinelli,Donnie Henderson
DET,Detroit,2006,Rod Marinelli,Mike Martz
